moa,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6,moa_size
5 alpha reductase inhibitor,0.992,0.999,1.0,0.98,0.83,0.256,2
acat inhibitor,0.846,0.503,0.677,0.96,0.835,0.21,3
acetylcholine receptor agonist,0.31,0.208,0.19,0.536,0.743,0.864,9
acetylcholine receptor antagonist,0.316,0.036,0.055,0.154,0.966,0.586,21
acetylcholine release stimulant,0.717,0.981,0.918,0.874,0.833,0.922,2
acetylcholinesterase inhibitor,0.653,0.259,0.861,0.864,0.859,0.885,3
adenosine receptor agonist,0.879,0.857,0.706,0.197,0.127,0.314,3
adenosine receptor antagonist,0.129,0.125,0.071,0.768,0.855,0.796,5
adrenergic inhibitor,0.932,0.773,0.765,0.922,0.906,0.852,2
adrenergic receptor agonist,0.639,0.152,0.107,0.053,0.655,0.879,21
adrenergic receptor antagonist,0.451,0.301,0.178,0.068,0.334,0.722,34
adrenergic receptor antagonist|calcium channel blocker,0.853,0.33,0.044,0.353,0.23,0.614,2
akt inhibitor,0.31,0.279,0.042,0.028,0.023,0.088,7
alcohol dehydrogenase inhibitor,0.996,0.974,0.555,0.776,0.805,0.291,2
aldose reductase inhibitor,0.013,0.133,0.014,0.018,0.014,0.035,2
alk tyrosine kinase receptor inhibitor,0.172,0.778,0.555,0.151,0.004,0.012,4
ampk activator,0.703,0.956,0.6,0.327,0.471,0.958,2
androgen receptor agonist,0.043,0.059,0.053,0.015,0.004,0.064,3
androgen receptor antagonist,0.145,0.019,0.361,0.759,0.345,0.638,6
androgen receptor modulator,0.878,0.667,0.48,0.333,0.175,0.328,5
angiogenesis inhibitor,0.012,0.24,0.481,0.351,0.454,0.176,3
angiotensin converting enzyme inhibitor,0.767,0.26,0.082,0.012,0.058,0.367,10
angiotensin receptor antagonist,0.229,0.265,0.311,0.411,0.385,0.993,6
anthelmintic agent,0.002,0.142,0.014,0.006,0.039,0.645,2
antimalarial agent,0.724,0.569,0.919,0.977,0.285,0.13,2
antioxidant,0.745,0.47,0.706,0.581,0.337,0.686,2
antithyroid agent,0.989,0.926,0.982,1.0,0.998,0.935,2
antiviral,0.825,0.847,0.79,0.703,0.627,0.564,2
aromatase inhibitor,0.07,0.227,0.381,0.402,0.037,0.41,5
atp channel blocker,0.412,0.184,0.344,0.831,0.753,0.788,3
atpase inhibitor,0.488,0.478,0.421,0.437,0.624,0.793,5
aurora kinase inhibitor,0.269,0.013,0.0,0.0,0.0,0.0,5
bacterial 30s ribosomal subunit inhibitor,0.392,0.818,0.821,0.897,0.676,0.35,5
bacterial 50s ribosomal subunit inhibitor,0.771,0.516,0.588,0.311,0.598,0.975,7
bacterial antifolate,0.998,0.858,0.866,0.521,0.64,0.457,2
