moa,moa_cpds_dose_1,moa_cpds_dose_2,moa_cpds_dose_3,moa_cpds_dose_4,moa_cpds_dose_5,moa_cpds_dose_6,moa_size
5 alpha reductase inhibitor,dutasteride;finasteride,dutasteride;finasteride,dutasteride;finasteride,dutasteride;finasteride,dutasteride;finasteride,dutasteride;finasteride,2
acat inhibitor,avasimibe;kd-023;ci-976,avasimibe;kd-023;ci-976,avasimibe;kd-023;ci-976,avasimibe;kd-023;ci-976,avasimibe;kd-023;ci-976,avasimibe;kd-023;ci-976,3
acetylcholine receptor agonist,piracetam;abt-202;nicotine;diphenidol;cytisine;varenicline;pilocarpine;evp-6124;levamisole,piracetam;abt-202;nicotine;diphenidol;cytisine;varenicline;pilocarpine;evp-6124;levamisole,piracetam;abt-202;nicotine;diphenidol;cytisine;varenicline;pilocarpine;evp-6124;levamisole,piracetam;abt-202;nicotine;diphenidol;cytisine;varenicline;pilocarpine;evp-6124;levamisole,piracetam;abt-202;nicotine;diphenidol;cytisine;varenicline;pilocarpine;evp-6124;levamisole,piracetam;abt-202;nicotine;diphenidol;cytisine;varenicline;pilocarpine;evp-6124;levamisole,9
acetylcholine receptor antagonist,atracurium;metixene;mecamylamine;solifenacin-succinate;sulbutiamine;biperiden;rocuronium;orphenadrine;oxybutynin;scopolamine;umeclidinium;flavoxate;otilonium;glycopyrrolate;afloqualone;aclidinium;carisoprodol;pirenzepine;darifenacin;ipratropium;piperidolate,atracurium;metixene;mecamylamine;solifenacin-succinate;sulbutiamine;biperiden;rocuronium;orphenadrine;oxybutynin;scopolamine;umeclidinium;flavoxate;otilonium;glycopyrrolate;afloqualone;aclidinium;carisoprodol;pirenzepine;darifenacin;ipratropium;piperidolate,atracurium;metixene;mecamylamine;solifenacin-succinate;sulbutiamine;biperiden;rocuronium;orphenadrine;oxybutynin;scopolamine;umeclidinium;flavoxate;otilonium;glycopyrrolate;afloqualone;aclidinium;carisoprodol;pirenzepine;darifenacin;ipratropium;piperidolate,atracurium;metixene;mecamylamine;solifenacin-succinate;sulbutiamine;biperiden;rocuronium;orphenadrine;oxybutynin;scopolamine;umeclidinium;flavoxate;otilonium;glycopyrrolate;afloqualone;aclidinium;carisoprodol;pirenzepine;darifenacin;ipratropium;piperidolate,atracurium;metixene;mecamylamine;solifenacin-succinate;sulbutiamine;biperiden;rocuronium;orphenadrine;oxybutynin;scopolamine;umeclidinium;flavoxate;otilonium;glycopyrrolate;afloqualone;aclidinium;carisoprodol;pirenzepine;darifenacin;ipratropium;piperidolate,atracurium;metixene;mecamylamine;solifenacin-succinate;sulbutiamine;biperiden;rocuronium;orphenadrine;oxybutynin;scopolamine;umeclidinium;flavoxate;otilonium;glycopyrrolate;afloqualone;aclidinium;carisoprodol;pirenzepine;darifenacin;ipratropium;piperidolate,21
acetylcholine release stimulant,bifemelane;dmp-543,bifemelane;dmp-543,bifemelane;dmp-543,bifemelane;dmp-543,bifemelane;dmp-543,bifemelane;dmp-543,2
acetylcholinesterase inhibitor,neostigmine;donepezil;tacrine,neostigmine;donepezil;tacrine,neostigmine;donepezil;tacrine,neostigmine;donepezil;tacrine,neostigmine;donepezil;tacrine,neostigmine;donepezil;tacrine,3
adenosine receptor agonist,ib-meca;adenosine;regadenoson,ib-meca;adenosine;regadenoson,ib-meca;adenosine;regadenoson,ib-meca;adenosine;regadenoson,ib-meca;adenosine;regadenoson,ib-meca;adenosine;regadenoson,3
adenosine receptor antagonist,sulmazole;dpcpx;preladenant;doxofylline;theophylline,sulmazole;dpcpx;preladenant;doxofylline;theophylline,sulmazole;dpcpx;preladenant;doxofylline;theophylline,sulmazole;dpcpx;preladenant;doxofylline;theophylline,sulmazole;dpcpx;preladenant;doxofylline;theophylline,sulmazole;dpcpx;preladenant;doxofylline;theophylline,5
adrenergic inhibitor,guanadrel;guanethidine,guanadrel;guanethidine,guanadrel;guanethidine,guanadrel;guanethidine,guanadrel;guanethidine,guanadrel;guanethidine,2
adrenergic receptor agonist,zd-7114;bambuterol;oxymetazoline;mephentermine;levalbuterol;dexmedetomidine;tizanidine;lofexidine;cgp12177;ritodrine;guanabenz;formoterol;methyldopa;lidamidine;clenbuterol;midodrine;phenylephrine;naphazoline;clonidine;indacaterol;fenoterol,zd-7114;bambuterol;oxymetazoline;mephentermine;levalbuterol;dexmedetomidine;tizanidine;lofexidine;cgp12177;ritodrine;guanabenz;formoterol;methyldopa;lidamidine;clenbuterol;midodrine;phenylephrine;naphazoline;clonidine;indacaterol;fenoterol,zd-7114;bambuterol;oxymetazoline;mephentermine;levalbuterol;dexmedetomidine;tizanidine;lofexidine;cgp12177;ritodrine;guanabenz;formoterol;methyldopa;lidamidine;clenbuterol;midodrine;phenylephrine;naphazoline;clonidine;indacaterol;fenoterol,zd-7114;bambuterol;oxymetazoline;mephentermine;levalbuterol;dexmedetomidine;tizanidine;lofexidine;cgp12177;ritodrine;guanabenz;formoterol;methyldopa;lidamidine;clenbuterol;midodrine;phenylephrine;naphazoline;clonidine;indacaterol;fenoterol,zd-7114;bambuterol;oxymetazoline;mephentermine;levalbuterol;dexmedetomidine;tizanidine;lofexidine;cgp12177;ritodrine;guanabenz;formoterol;methyldopa;lidamidine;clenbuterol;midodrine;phenylephrine;naphazoline;clonidine;indacaterol;fenoterol,zd-7114;bambuterol;oxymetazoline;mephentermine;levalbuterol;dexmedetomidine;tizanidine;lofexidine;cgp12177;ritodrine;guanabenz;formoterol;methyldopa;lidamidine;clenbuterol;midodrine;phenylephrine;naphazoline;clonidine;indacaterol;fenoterol,21
