cpd,dose,replicate_correlation,signature_strength,TAS
17-hydroxyprogesterone-caproate,0.04 uM,-0.0093435005302555,307.3333333333333,0.0
2-iminobiotin,0.04 uM,0.029933462081212,281.6666666666667,0.09284890251130727
3-amino-benzamide,0.04 uM,0.0456556669473286,260.6666666666667,0.1103114688559124
3-deazaadenosine,0.04 uM,0.017113905928964,154.0,0.051911730109539804
ABT-737,0.04 uM,0.0307016406564882,238.0,0.08643703144577364
AICA-ribonucleotide,0.04 uM,0.0089941715244474,213.33333333333334,0.04429355264150112
AKT-inhibitor-1-2,0.04 uM,0.0287171905786269,249.0,0.0855069117506595
ALX-5407,0.04 uM,0.0954096109064088,219.66666666666666,0.1463890912904686
AS-605240,0.04 uM,-0.0772323540241877,401.6666666666667,0.0
AT-7519,0.04 uM,0.1692395065979111,260.0,0.21211340803580836
AZ-628,0.04 uM,0.0388705392763958,278.3333333333333,0.10517765069533973
AZD-5438,0.04 uM,0.0089953100935972,218.33333333333334,0.044812447569392656
AZD-8330,0.04 uM,0.2415664087108792,482.0,0.34504231831777693
BAY-K8644,0.04 uM,-0.0157554113842582,218.66666666666666,0.0
BI-2536,0.04 uM,0.3085396827022535,482.0,0.389950611762559
BIBX-1382,0.04 uM,0.050480286591573,331.3333333333333,0.13077479363514508
BIIB021,0.04 uM,0.2216540121678896,398.3333333333333,0.3004634823170303
BMS-299897,0.04 uM,-0.0216716530736754,275.0,0.0
BMS-777607,0.04 uM,0.0355055754253033,250.33333333333334,0.0953318874295137
BMY-14802,0.04 uM,0.1259717605050062,369.0,0.21801197793201063
CGS-20625,0.04 uM,-0.0434915266723551,197.33333333333334,0.0
CI-966,0.04 uM,-0.0288747453846971,261.6666666666667,0.0
CI-976,0.04 uM,-0.042554251739528,161.5,0.0
CL-218872,0.04 uM,0.1063957213222416,206.66666666666666,0.14994357859550997
CP-724714,0.04 uM,-0.015145210975644,204.33333333333334,0.0
CYT-997,0.04 uM,0.0635744800892289,292.6666666666667,0.13792996049009282
CYT387,0.04 uM,0.0845760275588696,248.66666666666666,0.14664356175943452
D-4476,0.04 uM,-0.0296553241949078,207.0,0.0
DMP-543,0.04 uM,0.0322188891635041,217.0,0.08455041059014168
ENMD-2076,0.04 uM,0.0147092273898021,267.3333333333333,0.06340916880081288
EX-527,0.04 uM,0.0214631794748071,230.66666666666666,0.07114919996706315
FK-888,0.04 uM,0.01157561619958,253.66666666666666,0.05479416751274959
FPL-55712,0.04 uM,0.0371299926448719,264.6666666666667,0.10024036239073085
GSK-461364,0.04 uM,0.0753884897222359,345.0,0.16307697303771787
IKK-2-inhibitor-V,0.04 uM,-0.0254370527323602,146.5,0.0
JNJ-26854165,0.04 uM,0.2912106583615158,483.0,0.3792344403196422
JNJ-38877605,0.04 uM,-0.0187127061725334,296.0,0.0
JTC-801,0.04 uM,0.0039771480214191,377.3333333333333,0.03917229677258938
JTE-907,0.04 uM,-0.0204043283730095,229.33333333333334,0.0
L-690330,0.04 uM,0.1340211073809551,239.0,0.18097397440265353
MDL-73005EF,0.04 uM,-0.0640578239616532,295.0,0.0
MK-1775,0.04 uM,0.183841207223485,341.0,0.2531798823472482
MK-2206,0.04 uM,0.1189933703003285,319.6666666666667,0.19721531224990244
MLN-2238,0.04 uM,-0.1143866367557413,303.5,0.0
MLN-4924,0.04 uM,0.1584180323736754,313.0,0.22516715929438708
MLN-8054,0.04 uM,0.0070876412214078,248.66666666666666,0.04245122447183615
NF-449,0.04 uM,0.0264293068676965,254.0,0.0828495812474525
NVP-BEZ235,0.04 uM,-0.0025599470075454,239.33333333333334,0.0
PCA-4248,0.04 uM,-0.0284667616140508,240.0,0.0
PD-0325901,0.04 uM,0.2182876051843968,333.0,0.2726259723204015
PD-184352,0.04 uM,0.0165979662105323,219.33333333333334,0.06101130720498477
PF-04217903,0.04 uM,0.0114857337071894,229.33333333333334,0.05189715325723836
PF-562271,0.04 uM,0.130302866714808,267.0,0.18860933703619465
PHA-793887,0.04 uM,-0.0342339235624472,230.0,0.0
PK-11195,0.04 uM,0.0114853867522671,301.6666666666667,0.059520565236113904
PX-12,0.04 uM,-0.0514506516067949,251.0,0.0
RHO-kinase-inhibitor-III[rockout],0.04 uM,0.3657255426692661,352.0,0.3628102522822728
SCH-28080,0.04 uM,0.0054563946962849,178.33333333333334,0.03154276245290406
SR-27897,0.04 uM,0.0655492393336117,294.0,0.14037444944626995
SR-57227A,0.04 uM,0.0297886313108576,299.0,0.09543143215575779
TAK-715,0.04 uM,0.0567551458285556,323.6666666666667,0.1370509916094521
TG100-115,0.04 uM,-0.0156735137224894,270.6666666666667,0.0
THM-I-94,0.04 uM,0.1154129100637748,258.6666666666667,0.1747141186279785
TTNPB,0.04 uM,0.0864700282414756,279.0,0.1570599571581084
XL-147,0.04 uM,0.0286237083516751,222.0,0.08060648975273355
Y-26763,0.04 uM,-0.0082071045051643,296.3333333333333,0.0
Y-27152,0.04 uM,0.0167981616842972,276.3333333333333,0.0688934746606091
Y-27632,0.04 uM,0.1037131491660914,353.0,0.1934794463797152
Y-39983,0.04 uM,0.1803165516710773,235.0,0.2081528207151662
ZD-7288,0.04 uM,0.024993863976708,392.0,0.10008991192518732
ZK-93423,0.04 uM,-0.0093367642943719,286.0,0.0
ZK-93426,0.04 uM,-0.0444581989007481,382.0,0.0
abacavir,0.04 uM,0.0086383316307686,239.66666666666666,0.04600969209164118
abiraterone-acetate,0.04 uM,-0.0201902223729657,251.0,0.0
abt-202,0.04 uM,0.0046030481256975,209.33333333333334,0.03138864186427719
abt-239,0.04 uM,0.086566115032632,209.0,0.136012141742006
abt-724,0.04 uM,-0.0368348117678997,370.0,0.0
acarbose,0.04 uM,-0.0382472964725653,290.0,0.0
acebutolol,0.04 uM,0.0247065465441725,174.5,0.0663948372161203
acecainide,0.04 uM,0.0354217394750822,225.33333333333334,0.09033961501630196
acenocoumarol,0.04 uM,0.0289978159177543,264.6666666666667,0.08858554078609941
acetazolamide,0.04 uM,-0.0123118893254168,311.0,0.0
acetylcysteine,0.04 uM,-0.0267521936583661,241.66666666666666,0.0
acexamic-acid,0.04 uM,0.0578959881221897,279.0,0.1285159140722546
acifran,0.04 uM,0.081098888200754,247.66666666666666,0.14330845117783952
acipimox,0.04 uM,-0.0506453799042545,294.3333333333333,0.0
acivicin,0.04 uM,0.1412090317485348,256.6666666666667,0.19250700856262348
aclidinium,0.04 uM,0.038226439313456,212.0,0.09102913719495953
acrivastine,0.04 uM,0.0687377610287354,235.0,0.128517478070033
actarit,0.04 uM,0.0873364343669873,192.33333333333334,0.13105559921317086
acy-1215,0.04 uM,0.1580714450288378,186.5,0.1736187809013619
adapalene,0.04 uM,0.0782132680429422,274.6666666666667,0.14820872373054797
adarotene,0.04 uM,-0.0699320292992708,287.3333333333333,0.0
adatanserin,0.04 uM,-0.0187732151539143,223.33333333333334,0.0
adenosine,0.04 uM,-0.0469473365779979,331.0,0.0
adoprazine,0.04 uM,0.0290235870718539,271.0,0.08967900092567378
afatinib,0.04 uM,-0.0188281828408669,248.66666666666666,0.0
afloqualone,0.04 uM,0.0119794763183332,259.0,0.05632476278067111
agi-5198,0.04 uM,0.0893727467250447,231.33333333333334,0.14539592448170588
agi-6780,0.04 uM,0.0017749742074116,218.33333333333334,0.01990612003406745
agomelatine,0.04 uM,-0.0077260698947086,200.66666666666666,0.0
agp-103,0.04 uM,0.0262654396509784,223.0,0.07738830622818452
alaproclate,0.04 uM,0.1997361910869025,185.33333333333334,0.1945520103875771
albendazole,0.04 uM,0.0694480142285765,340.6666666666667,0.1555339885324828
alectinib,0.04 uM,0.0379791106549315,219.0,0.09221998036520221
alisertib,0.04 uM,0.0812829769707576,176.0,0.1209446625428363
aliskiren,0.04 uM,0.1025414715416842,212.33333333333334,0.14920708101117797
alizapride,0.04 uM,0.0392421159006482,344.0,0.11748596866064406
allopurinol,0.04 uM,0.028199950694709,258.0,0.0862510915685345
