compound	no_of_compounds	well	dose_recode	median_score	p_value
17-hydroxyprogesterone-caproate	5	N18	1	0.0545573852235551	0.009
2-iminobiotin	5	B12	1	0.0537909563263734	0.004
3-amino-benzamide	5	D24	1	0.1119327650969594	0.001
3-deazaadenosine	5	O12	1	0.0157540119375704	0.322
abacavir	5	J06	1	0.0156780856666056	0.382
abiraterone-acetate	5	C18	1	0.1244033468763347	0.0
abt-202	5	E18	1	0.0246796124781858	0.244
abt-239	5	I06	1	0.0700028541026345	0.0
abt-724	5	L12	1	0.0107627782490061	0.382
acarbose	4	H06	1	0.0557225421329439	0.009
acebutolol	5	L12	1	0.065699198986284	0.0
acecainide	5	O18	1	0.0499444286724396	0.022
acenocoumarol	5	O18	1	0.0551523101370631	0.01
acetazolamide	2	M24	1	0.100879435018505	0.754
acetylcysteine	5	O18	1	0.0491956414454851	0.024
acexamic-acid	5	J12	1	0.0536173483496527	0.002
acifran	5	F06	1	0.026791398229582	0.094
acipimox	5	G06	1	0.0095737014253175	0.473
acivicin	5	E24	1	0.0994636803696727	0.014
aclidinium	5	A12	1	0.0670663424315919	0.008
acrivastine	5	A12	1	0.0648307356908231	0.009
actarit	5	M18	1	0.0347090593529701	0.078
acy-1215	5	H24	1	0.0673067601139121	0.019
adapalene	5	N12	1	0.1673368330002298	0.0
adarotene	4	A18	1	0.0623341825697069	0.042
adatanserin	5	L18	1	0.0788686065755054	0.001
adenosine	4	G06	1	0.0098826263848833	0.464
adoprazine	5	L24	1	0.1036412789496158	0.001
afatinib	5	M06	1	0.1108570436479987	0.0
afloqualone	5	E12	1	0.0323784174845563	0.09
agi-5198	5	I18	1	0.0716309782363705	0.0
agi-6780	5	C12	1	0.0063990784921024	0.601
agomelatine	5	L06	1	0.0335088296594167	0.071
agp-103	5	N12	1	0.0075646348909057	0.47
alaproclate	5	M12	1	0.0382078656566186	0.027
albendazole	5	P06	1	0.0501501875715552	0.05
alectinib	5	P12	1	0.090510989300588	0.001
alisertib	5	F24	1	0.3170913259173754	0.0
aliskiren	5	I12	1	0.0193177399042178	0.148
alizapride	4	M18	1	0.055621829621285	0.019
allopurinol	5	O12	1	0.0642615499052557	0.002
almitrine	5	O24	1	0.0943863994376786	0.011
