cluster,BIC_score,dose
2,5221834.142425313,1
3,5736034.560700683,1
4,6113922.540686743,1
5,6484351.660759625,1
6,6752009.240677838,1
7,7176946.347311816,1
8,7141147.629892079,1
9,7676056.526155034,1
10,7970127.760375941,1
11,7870015.005248147,1
12,9070975.269991346,1
13,9676189.25132162,1
14,8985120.184638526,1
15,9860249.982296858,1
16,10389293.772625249,1
17,10763708.533561688,1
18,10622063.394829486,1
19,11577781.803201163,1
20,12232623.30878758,1
21,12164358.749779038,1
22,12503623.668069694,1
23,12753550.717640802,1
24,12772173.769842297,1
25,14127007.736657435,1
26,15818966.36432989,1
27,15429339.37560973,1
28,15307248.768261485,1
29,15448581.565264512,1
30,16053091.276584363,1
31,16274462.79468485,1
32,16278582.479982987,1
33,17440515.35398393,1
34,18194084.20216576,1
35,18427828.515756726,1
36,17847218.77788548,1
37,19087350.883177027,1
38,20567978.44118664,1
39,19785568.564144697,1
40,18821261.683609616,1
2,5364374.401415483,2
3,5658820.707865183,2
4,6083286.060716689,2
5,6404323.120941089,2
6,6742244.997071196,2
7,7028987.653759688,2
8,7508235.522457151,2
9,7307199.060885834,2
10,8022108.015614458,2
11,8151345.347695255,2
12,8244445.955909358,2
13,9188973.658125216,2
14,9858085.175012618,2
15,9703147.257703502,2
16,9836789.836117228,2
17,10623694.954367908,2
18,11083347.308968779,2
19,11707039.0186138,2
20,12085381.443593172,2
21,11992476.869090669,2
22,12164523.64102747,2
23,13578246.971701354,2
24,13061182.027506158,2
25,14485018.384921439,2
26,14153928.258811759,2
27,14859839.838159012,2
28,15076844.35033555,2
29,15418699.628230782,2
30,16130522.809142308,2
31,16920600.111110486,2
32,16787442.43047397,2
33,17640910.67285794,2
34,17708570.653686672,2
35,18377878.171949763,2
36,17770696.87610829,2
37,19472574.343252487,2
38,20061426.57089114,2
39,19536145.921802726,2
40,21393380.98727783,2
2,5313273.577389708,3
3,5720169.851297528,3
4,5774634.429956357,3
5,6198287.8207183555,3
6,6530943.283963976,3
7,6805866.527368135,3
8,7191322.553180575,3
9,7510257.668443473,3
10,7725810.178802859,3
11,8472131.780874304,3
12,8267465.717109445,3
13,8730166.683490442,3
14,9237118.70940991,3
15,9535630.145515408,3
16,9991976.0846203,3
17,10769967.798514923,3
18,11243062.905507678,3
19,11155280.523010079,3
20,11820243.540456083,3
21,12346604.56658815,3
22,12576006.443860715,3
23,11952376.119769279,3
24,13349163.657906214,3
25,13337585.829360314,3
26,13238797.289559852,3
27,14994491.193678014,3
28,14991984.054294998,3
29,15020884.916195564,3
30,15821324.654911466,3
31,16014781.978784686,3
32,17855636.450254194,3
33,17475471.243308257,3
34,18638368.638172776,3
35,17884480.782031197,3
36,18055116.899306964,3
37,19686172.985418458,3
