var,PC
9.36855914105585,PC1
3.644955387876978,PC2
2.055173478174999,PC3
1.5413051797278263,PC4
1.2729719903026115,PC5
0.9763705623591495,PC6
0.9207305803270491,PC7
0.843805267800328,PC8
0.7374856966608776,PC9
0.6909849134079652,PC10
0.6728433508541501,PC11
0.6573126371419412,PC12
0.6257033781777477,PC13
0.5312659217251672,PC14
0.5230873186153175,PC15
0.48703228951243394,PC16
0.47956283720552934,PC17
0.44352145190712244,PC18
0.41783193517967565,PC19
0.4125584844181772,PC20
0.40529380191861125,PC21
0.37651473073434927,PC22
0.33422891205526345,PC23
0.3321677753379223,PC24
0.31984664394194395,PC25
0.3145551803272541,PC26
0.30851875653692085,PC27
0.2777186488672887,PC28
0.2748038759204219,PC29
0.26465996986314755,PC30
0.25630124681753724,PC31
0.2489016400179391,PC32
0.24491026757534748,PC33
0.23761827433720661,PC34
0.2359988553342367,PC35
0.23008219219064407,PC36
0.22266310719328142,PC37
0.21977321309097747,PC38
0.21509878945236496,PC39
0.2124315152538809,PC40
0.20862184714544396,PC41
0.20618429456834442,PC42
0.2032067991037303,PC43
0.20195732976053513,PC44
0.1965733758321814,PC45
0.19371900204196957,PC46
0.18687611182488628,PC47
0.18502650901815917,PC48
0.18464253131766348,PC49
0.18172981363435792,PC50
0.18046995791510131,PC51
0.17985793566526528,PC52
0.17637407517372808,PC53
0.17459915460840458,PC54
0.17302668567129145,PC55
0.1714682063463746,PC56
0.1705251525529518,PC57
0.16842819931522193,PC58
0.1678241457516427,PC59
0.1667114833990849,PC60
0.16420204411157824,PC61
0.16405532259429284,PC62
0.16264945820404325,PC63
0.16217827293538584,PC64
0.15982324945483115,PC65
0.15905885853281476,PC66
0.15803054341648476,PC67
0.15697568081557534,PC68
0.15648080997967412,PC69
0.1558445228283941,PC70
0.1553600568241181,PC71
0.15421197876592435,PC72
0.15375448439481146,PC73
0.15253692618787695,PC74
0.15106026992364913,PC75
0.1508755724110805,PC76
0.1508190244571741,PC77
0.15016072496485053,PC78
0.14953521622471516,PC79
0.1490340861476483,PC80
0.1487263539161063,PC81
0.1477748083271759,PC82
0.14716238760888392,PC83
0.14595287067993673,PC84
0.14550953595450852,PC85
0.14514733072452324,PC86
0.14434532374418094,PC87
0.14361603378499715,PC88
0.14326910577164825,PC89
0.14283368389212367,PC90
0.14235082666280335,PC91
0.14188475975564036,PC92
0.1411316181962074,PC93
0.14077726355685077,PC94
0.1407145246491029,PC95
0.14000104784370496,PC96
0.13931700101660002,PC97
0.13849602784906612,PC98
0.13830149959790067,PC99
0.13769458159235431,PC100
0.13753830405147544,PC101
0.13686577492856522,PC102
0.13636713161477906,PC103
0.13620900573443903,PC104
0.13603708004747234,PC105
0.13546449097544538,PC106
0.13486275676280624,PC107
0.13465278054372185,PC108
0.1342460931310966,PC109
0.13392570995000183,PC110
0.13364921709848634,PC111
0.1335416349998378,PC112
0.13265555078538613,PC113
0.13233637506193993,PC114
0.1318797430426627,PC115
0.13159157481800154,PC116
0.13110847205402906,PC117
0.13034563026230706,PC118
0.12973696490790448,PC119
0.1297019406362512,PC120
0.12909334164735123,PC121
0.12895883761368013,PC122
0.1284666411936973,PC123
0.12836770565791347,PC124
0.1278844846773728,PC125
0.12746377570162984,PC126
0.1270881169660156,PC127
0.12683389338889753,PC128
0.1265785102224768,PC129
0.12625401896333005,PC130
0.1256639360438782,PC131
0.1255705297760135,PC132
0.12476876760737175,PC133
0.12453279092459368,PC134
0.12420031447385388,PC135
0.12392589198595841,PC136
0.12376576685915587,PC137
0.12357835793403395,PC138
0.12314494286191122,PC139
0.12288970189341401,PC140
0.12227863244460345,PC141
0.12210163021945819,PC142
0.1216539066529497,PC143
0.12131356326123136,PC144
0.1211841260524878,PC145
0.12107667920583082,PC146
0.12088647034169248,PC147
0.12041208768252235,PC148
0.12006588646279624,PC149
0.11976925250396778,PC150
0.11921168083470224,PC151
0.11915775671040423,PC152
0.11846183459644184,PC153
0.11827715616591551,PC154
0.11805426972021972,PC155
0.11782101744730249,PC156
0.11763931168431939,PC157
0.11756318289616985,PC158
0.11719907308393637,PC159
0.11691604645538241,PC160
0.11668994112693189,PC161
0.11652180719172606,PC162
0.11635534925574316,PC163
0.11587591091087703,PC164
0.11571187625445065,PC165
0.11518281235819688,PC166
0.1149126831796613,PC167
0.11472203004073854,PC168
0.11431560159681456,PC169
0.11393611763312594,PC170
