cluster,BIC_score,dose
2,2860882.8548912145,1
3,3263541.6192475427,1
4,2999499.6002594195,1
5,3034723.795185292,1
6,3039878.3629640834,1
7,3121462.9940946912,1
8,3068225.805828486,1
9,3287565.590622612,1
10,3263739.2339785914,1
11,3308918.4307791647,1
12,3316376.752503833,1
13,3393294.979681624,1
14,3531038.0659812484,1
15,3616049.555500973,1
16,3611231.904920426,1
17,3732992.457192906,1
18,3763302.7926034313,1
19,3887153.194946015,1
20,4064228.1220461074,1
21,3962318.247874184,1
22,4163866.9770060675,1
23,4265630.802035693,1
24,4239325.038172263,1
25,4315996.733443935,1
26,4492280.172513828,1
27,4621658.673087829,1
28,4759497.311973654,1
29,4715935.434231558,1
30,4653216.70601499,1
31,4994470.836196493,1
32,4953044.204796897,1
33,5012096.925685344,1
34,5076580.384132066,1
35,5222863.9523274135,1
36,5328393.880991966,1
37,5525082.7291357145,1
38,5512312.07760345,1
39,5611161.58466724,1
40,5746422.154914634,1
2,3182839.929881438,2
3,2763373.631851103,2
4,3131354.1525386767,2
5,3321374.264835675,2
6,3071559.8829209693,2
7,3209472.692890351,2
8,2989589.8640790666,2
9,2888005.477921375,2
10,2997208.473174393,2
11,3383130.7754678284,2
12,3126591.059972924,2
13,3291471.1563543845,2
14,3209130.8387637967,2
15,3269422.584404638,2
16,3408334.073711322,2
17,3564786.037004997,2
18,3509111.410662268,2
19,3703749.5979143186,2
20,3720374.204462065,2
21,3856384.1738769626,2
22,3881664.2731397497,2
23,3988063.449747001,2
24,4031926.012609762,2
25,4114112.576950358,2
26,4305864.437138267,2
27,4307787.004279207,2
28,4275218.473411069,2
29,4516997.637061032,2
30,4663682.774809331,2
31,4729335.770746945,2
32,4919991.901126882,2
33,4808592.971695282,2
34,4827364.26093605,2
35,5154642.4613016825,2
36,4906604.76950727,2
37,5095928.430990237,2
38,5131438.551453453,2
39,5557982.485497019,2
40,5527588.604427792,2
2,2427253.820251108,3
3,3014154.5780499936,3
4,2784793.145899401,3
5,2544818.8942695768,3
6,2805296.3534891494,3
7,2722499.258362523,3
8,2670018.112891187,3
9,2680998.4915086157,3
10,2705872.864853616,3
11,2867409.9539684234,3
12,2746821.627352828,3
13,2770305.5820723725,3
14,3071266.5872789808,3
15,3028407.277044315,3
16,3173152.709505831,3
17,3027091.0980089875,3
18,3340676.258474876,3
19,3164466.1057451125,3
